Date,Song,Artist,Peak Position,Weeks in Charts
2024-07-24,Lucifer,Eminem & Sly Pyper,1,-
2024-08-07,Lucky,Halsey,1,-
2024-08-28,Lunch,Billie Eilish,5,14
2024-04-24,Luv Bad Bitches,Future| Metro Boomin & Brownstone,1,-
2024-08-28,M-E-X-I-C-O,Post Malone Featuring Billy Strings,1,-
2024-06-19,Made For Me,Muni Long,20,22
2024-04-10,Magic Don Juan (Princess Diana),Future & Metro Boomin,27,2
2024-04-17,Magnetic,ILLIT,1,-
2023-10-04,Making The Bed,Olivia Rodrigo,19,3
2024-04-17,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,55,15
2024-08-28,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,36,8
2024-04-24,Man Made A Bar,Morgan Wallen Featuring Eric Church,15,30
2023-09-13,Margaritaville,Jimmy Buffett,23,-
2024-07-17,Mechanical Bull,Zach Bryan,1,-
2024-06-05,Meet The Grahams,Kendrick Lamar,12,4
2023-12-13,Meltdown,Travis Scott Featuring Drake,3,19
2023-11-01,Members Only,Drake Featuring PARTYNEXTDOOR,24,3
2024-07-17,Memphis; The Blues,Zach Bryan Featuring John Moreland,1,-
2023-10-25,Mercedes Carota,Bad Bunny & YOVNGCHIMI,1,-
2024-01-03,Merry Christmas,Ed Sheeran & Elton John,7,-
2024-01-17,Mi Ex Tenia Razon,Karol G,22,16
2024-08-28,Miles On It,Marshmello & Kane Brown,18,16
2024-08-28,Million Dollar Baby,Tommy Richman,2,17
2024-01-17,Mind On You,George Birge,62,4
2024-08-07,Misses,Dominic Fike,99,2
2024-08-28,Missin' You Like This,Post Malone Featuring Luke Combs,1,-
2024-01-03,Mistletoe,Justin Bieber,13,-
2024-05-15,Mmhmm,BigXthaPlug,63,20
2024-03-06,Monaco,Bad Bunny,5,20
2023-11-08,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",40,-
2024-03-27,Mr Pot Scraper,BossMan Dlow,1,-
2023-11-01,Mr. October,Bad Bunny,28,2
2023-11-08,Mr. Take Ya B*tch,Lil Mabu & chriseanrock,1,-
2024-03-27,Murder On The Dancefloor,Sophie Ellis-Bextor,51,12
2024-06-19,My Boy Only Breaks His Favorite Toys,Taylor Swift,6,8
2024-03-20,My Eyes,Travis Scott,19,13
2023-12-13,My House,Beyonce,1,-
2024-08-28,My Kink Is Karma,Chappell Roan,81,3
2024-02-14,My Love Mine All Mine,Mitski,26,20
2024-04-10,My Rose,Beyonce,1,-
2024-02-14,N.H.I.E.,21 Savage & Doja Cat,19,4
2023-10-25,Nadie Sabe,Bad Bunny,1,-
2024-08-28,Nasty,Tinashe,61,12
2024-05-22,Neck On A Yacht,Gunna,1,-
2024-03-27,Nee-nah,21 Savage| Travis Scott & Metro Boomin,10,10
2024-03-13,Need A Favor,Jelly Roll,13,47
2024-01-10,Needle,Nicki Minaj Featuring Drake,34,4
2024-08-28,Nel,Fuerza Regida,73,4
2024-06-19,Never Let Go,Jung Kook,1,-
2024-05-15,Never Lose Me,Flo Milli,15,21
2024-08-28,Never Love You Again,Post Malone Featuring Sierra Ferrell,1,-
2023-11-15,New Romantics (Taylor's Version),Taylor Swift,29,2
2024-07-10,New To Country,Bailey Zimmerman,1,-
2024-08-28,New Woman,LISA Featuring Rosalia,1,-
2024-08-28,Nights Like This,The Kid LAROI,47,9
2023-10-04,Nine Ball,Zach Bryan,1,-
2024-02-07,No Caller ID,Megan Moroney,58,2
2023-10-25,No Me Quiero Casar,Bad Bunny,1,-
2024-04-24,Nobody Knows My Struggle,Future & Metro Boomin,1,-
2024-02-28,Northern Attitude,Noah Kahan With Hozier,37,12
2024-07-17,Northern Thunder,Zach Bryan,1,-
2024-08-28,Nosedive,Post Malone Featuring Lainey Wilson,1,-
2023-10-04,Nostalgia,Rod Wave & Wet,40,2
2024-08-28,Not Like Us,Kendrick Lamar,1,16
2023-11-22,Now And Then,The Beatles,7,2
2024-01-17,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,2,8
